match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size

3774360876,130,True,2785,22,7,8,1520704358,21,9,17,6,,0,1

3774263638,4,True,2804,22,7,104,1520700939,21,6,6,9,,0,1

3774176478,3,True,2637,22,7,2,1520697758,21,6,8,27,,0,1

3772197328,129,False,2039,22,7,12,1520608076,21,3,2,9,1,0,2

3772102686,129,True,2529,22,7,119,1520604984,21,3,7,9,1,0,2

3770168166,128,False,3971,22,0,13,1520510489,21,10,20,24,,0,4

3770094718,130,True,2339,22,7,46,1520507647,21,1,10,5,1,0,3

3766070842,3,False,1876,22,7,57,1520276827,,0,6,2,1,0,2

3765998593,130,False,3370,22,7,13,1520273144,,11,16,14,,0,

3765936783,2,True,2370,22,7,13,1520270164,,6,11,21,1,0,

3755976712,130,True,4122,22,7,16,1519756007,,6,23,24,,0,

3755898369,2,True,2792,22,7,16,1519752338,,3,10,26,,0,

3748619988,132,False,1875,4,0,1,1519389771,21,6,3,16,1,0,5

3746680975,2,False,3357,22,7,76,1519291093,21,12,14,17,1,0,1

3746561786,4,True,2300,22,7,56,1519285163,21,13,6,5,1,0,1

3745171201,3,False,1973,22,7,13,1519207164,21,2,11,5,1,0,2

3745099486,130,True,1896,22,7,114,1519203551,21,1,11,1,1,0,2

3744834494,130,False,2052,22,7,114,1519188479,21,4,9,11,1,0,2

3741238094,0,True,3265,22,7,2,1518979448,21,8,14,16,,0,2

3741161334,3,False,2912,22,7,63,1518975989,21,7,12,15,,0,2

3731048813,129,True,3187,22,7,12,1518456347,21,9,6,15,1,2,3

3730981766,130,True,2367,22,0,13,1518453396,21,11,9,11,1,0,4

3729380839,0,True,2160,22,7,71,1518368781,21,4,7,26,1,0,3

3726907188,130,False,2581,22,7,16,1518264518,21,6,5,23,1,0,3

3726837024,132,False,1933,22,7,114,1518262031,21,3,7,15,1,0,3

3726695508,129,True,3441,22,7,114,1518256553,21,7,11,16,,0,1

3726562134,128,True,2981,22,7,114,1518251193,21,6,14,15,1,0,1

3723765503,129,False,1809,22,7,93,1518104117,21,7,4,12,1,0,1

3723684267,0,False,2460,22,7,5,1518101144,21,4,15,16,1,0,1

3723429361,130,False,2613,22,7,16,1518092259,21,10,9,35,1,0,1

3723140979,130,False,2834,22,7,120,1518079303,21,5,13,21,1,0,1

3723060523,3,True,2534,22,7,93,1518074969,21,33,8,15,,0,1

3722136985,2,True,2791,4,0,112,1518018088,21,1,12,20,1,0,4

3722046863,1,True,2387,4,0,46,1518014757,21,6,5,10,1,0,3

3721427949,130,True,2505,4,0,25,1517989043,21,6,13,18,1,0,5

3721385525,2,True,1978,4,0,96,1517986608,21,6,5,20,1,0,4

